,id,title,description,create_time,status,assignee_id,priority,due_time,fullname,department
0,1,رفع باگ ورود کاربران,بررسی و رفع خطای لاگین در نسخه وب,2026/01/05,Done,1,High,2026/01/08,علی صابری,فنی
1,2,پیاده سازی API احراز هویت,ایجاد سرویس JWT برای کاربران,2026/01/07,Done,2,Critical,2026/01/15,رضا محمدی,فنی
2,3,طراحی داشبورد مدیریت,طراحی اولیه داشبورد مدیران سیستم,2026/01/10,In Progress,3,High,2026/06/15,سارا احمدی,محصول
3,4,تهیه گزارش مالی دی ماه,آماده سازی گزارش هزینه های ماهانه,2026/01/12,Done,7,Medium,2026/01/20,نرگس حسینی,مالی
4,5,پاسخگویی به تیکت های مشتریان,بررسی تیکت های معوق,2026/01/15,Done,5,Medium,2026/01/18,مریم کریمی,پشتیبانی
5,6,استقرار نسخه 2.1,انتشار نسخه جدید روی سرور عملیاتی,2026/01/16,Done,6,High,2026/01/20,حسین اکبری,استقرار
6,7,بازنگری Roadmap محصول,بررسی برنامه سه ماه آینده,2026/01/20,Done,22,High,2026/01/30,یاسمن کریمی,محصول
7,8,رفع مشکل مصرف حافظه,بهینه سازی Memory Usage سرویس,2026/01/21,Done,8,Critical,2026/01/28,امیر عباسی,فنی
8,9,طراحی صفحه پروفایل کاربر,بهبود تجربه کاربری,2026/01/22,Review,9,Medium,2026/06/05,زهرا موسوی,محصول
9,10,پیاده سازی سیستم اعلان,ارسال Notification در سیستم,2026/01/25,In Progress,10,High,2026/06/10,پیمان قاسمی,فنی
10,11,بررسی شکایات مشتریان,تحلیل و پاسخ به شکایات ثبت شده,2026/01/26,Done,11,Medium,2026/02/01,فاطمه رحیمی,پشتیبانی
11,12,استقرار محیط آزمایشی,راه اندازی سرور تست جدید,2026/01/28,Done,12,Medium,2026/02/05,سعید نادری,استقرار
12,13,جلسه برنامه ریزی فصلی,هماهنگی اهداف فصل جدید,2026/02/01,Done,13,Low,2026/02/03,محمدجواد کاظمی,مدیریت
13,14,کنترل هزینه های پروژه,بررسی هزینه های زیرساخت,2026/02/02,Done,14,Medium,2026/02/10,لیلا جعفری,مالی
14,15,توسعه ماژول گزارش گیری,ایجاد گزارش های مدیریتی,2026/02/05,In Progress,15,High,2026/06/20,علی مرادی,فنی
15,16,تحلیل نیازمندی های نسخه جدید,جمع آوری نیازهای مشتریان,2026/02/07,Done,16,Medium,2026/02/20,الهام رستمی,محصول
16,17,مهاجرت سرور فایل,انتقال داده ها به سرور جدید,2026/02/10,Done,17,Critical,2026/02/18,مجتبی حیدری,استقرار
17,18,بررسی SLA پشتیبانی,تحلیل عملکرد تیم پشتیبانی,2026/02/11,Done,18,Medium,2026/02/25,نگار امینی,پشتیبانی
18,19,رفع خطای گزارش فروش,اصلاح محاسبات گزارش ها,2026/02/14,Done,19,High,2026/02/20,احمد صادقی,فنی
19,20,تهیه گزارش مالی بهمن,آماده سازی گزارش مالی ماهانه,2026/02/15,Done,20,Medium,2026/02/28,سمیه شریفی,مالی
20,21,بررسی عملکرد تیم ها,ارزیابی KPI واحدها,2026/02/18,Done,21,Low,2026/03/01,مهدی قنبری,مدیریت
21,22,طراحی فرآیند ثبت درخواست,بهبود فرآیندهای داخلی,2026/02/20,Done,22,Medium,2026/03/05,یاسمن کریمی,محصول
22,23,پیاده سازی جستجوی پیشرفته,افزودن قابلیت فیلتر و جستجو,2026/02/22,Review,23,High,2026/06/08,محمد صالحی,فنی
23,24,پاسخ به مشتریان سازمانی,پیگیری درخواست های ویژه,2026/02/24,Done,24,Medium,2026/03/03,زینب نوری,پشتیبانی
24,25,استقرار سرویس پیامک,راه اندازی سرویس ارسال پیامک,2026/02/25,Done,25,High,2026/03/05,امین توکلی,استقرار
25,26,بررسی مغایرت مالی,تحلیل تراکنش های ثبت شده,2026/02/26,Done,26,Medium,2026/03/06,هانیه یوسفی,مالی
26,27,بهینه سازی کوئری های دیتابیس,کاهش زمان پاسخگویی سیستم,2026/03/01,In Progress,27,Critical,2026/06/12,علیرضا محمدپور,فنی
27,28,تحلیل رفتار کاربران,بررسی داده های استفاده از محصول,2026/03/02,Done,28,Medium,2026/03/15,پرستو زمانی,محصول
28,29,پیاده سازی کش Redis,افزایش سرعت سرویس ها,2026/03/04,Review,29,High,2026/06/07,آرش دهقانی,فنی
29,30,بررسی تیکت های بحرانی,اولویت بندی مشکلات مشتریان,2026/03/05,Done,30,High,2026/03/08,نسرین باقری,پشتیبانی
30,31,استقرار مانیتورینگ جدید,راه اندازی Prometheus و Grafana,2026/03/06,Done,31,High,2026/03/15,رضا نیکخواه,استقرار
31,32,تهیه بودجه فصل دوم,برنامه ریزی مالی سه ماه آینده,2026/03/08,Done,32,Medium,2026/03/20,مونا سلیمانی,مالی
32,33,بازنگری ساختار سازمانی,بررسی نیازهای توسعه تیم,2026/03/10,Done,33,Low,2026/03/25,حامد اسدی,مدیریت
33,34,طراحی قابلیت اشتراک گذاری,تعریف سناریوهای محصول,2026/03/12,Done,34,Medium,2026/03/28,فرزانه رفیعی,محصول
34,35,توسعه API گزارشات,افزودن Endpoint های جدید,2026/03/15,In Progress,35,High,2026/06/18,احسان طاهری,فنی
35,36,پیگیری مشکلات مشتریان VIP,رسیدگی به مشتریان کلیدی,2026/03/16,Done,36,High,2026/03/22,مهسا نعمتی,پشتیبانی
36,37,استقرار نسخه موبایل,انتشار نسخه Android جدید,2026/03/18,Done,37,Critical,2026/03/25,میلاد فتحی,استقرار
37,38,ممیزی مالی پروژه ها,کنترل هزینه های جاری,2026/03/20,Done,38,Medium,2026/03/30,شیوا محمودی,مالی
38,39,رفع باگ API پرداخت,اصلاح خطای ثبت تراکنش,2026/03/22,Done,39,Critical,2026/03/28,پویا شهبازی,فنی
39,40,تحلیل نرخ تبدیل کاربران,بررسی Funnel محصول,2026/03/25,Done,40,Medium,2026/04/05,سحر جلالی,محصول
40,41,پیاده سازی سیستم RBAC,مدیریت سطح دسترسی کاربران,2026/03/28,Open,41,High,2026/06/25,داوود قربانی,فنی
41,42,بررسی رضایت مشتریان,تحلیل نتایج نظرسنجی,2026/04/01,In Progress,42,Medium,2026/06/15,محدثه ملکی,پشتیبانی
42,43,استقرار کلاستر جدید,افزایش ظرفیت زیرساخت,2026/04/02,Open,43,Critical,2026/06/12,مرتضی کریمی,استقرار
43,44,تهیه گزارش حسابرسی,جمع بندی مستندات مالی,2026/04/05,Review,44,High,2026/06/06,نازنین ابراهیمی,مالی
44,45,برنامه ریزی استخدام تابستان,تعیین نیازهای جذب نیرو,2026/04/07,Open,45,Medium,2026/06/20,کیوان صادقی,مدیریت
